city,name,description,rating,location,url,cid
Amiens,WHITE HOUSE DHAVERNAS - PROCHE CENTRE - PARKING - WIFi HD,"Situé à Amiens, en Picardie, à proximité de la gare et du musée de Berny, le WHITE HOUSE DHAVERNAS - PROCHE CENTRE - PARKING - WIFi HD propose des hébergements avec connexion Wi-Fi et parking privé...",8.7,Amiens,https://www.booking.com/hotel/fr/white-house-dhavernas.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from=searchresults&map=1,2
Amiens,La Parenthèse Envoutée,"Situé à Amiens, en Picardie, à proximité de la gare et du parc des jardins flottants, l'établissement La Parenthèse Envoutée propose des hébergements avec connexion Wi-Fi gratuite et accès à un...",9.0,Amiens,https://www.booking.com/hotel/fr/aux-caves.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from=searchresults&map=1,2
Amiens,"Holiday Inn Express Amiens, an IHG Hotel","Rénové en avril 2015, le Holiday Inn Express Amiens comprend des chambres confortables avec une connexion Wi-Fi gratuite. ",7.9,Amiens,https://www.booking.com/hotel/fr/express-by-holiday-inn.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from_sustainable_property_sr=1&from=searchresults&map=1,2
Amiens,L'Oratoire,"Situé à Amiens, à proximité de la gare, du parc des jardins flottants et du musée Berny, l'établissement L'Oratoire propose une connexion Wi-Fi gratuite. ",8.0,Amiens,https://www.booking.com/hotel/fr/oratoire-amiens.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from=searchresults&map=1,2
Amiens,Hotel Le Prieuré et La Résidence,"L'Hotel Le Prieuré et La Résidence est situé dans le centre-ville d'Amiens, au pied de la cathédrale. ",8.3,Amiens,https://www.booking.com/hotel/fr/le-prieure-amiens.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from_sustainable_property_sr=1&from=searchresults&map=1,2
Amiens,Le Cottage des Hortillonnages,"Le Cottage des Hortillonnages est situé à Amiens, à 1,5 km de la gare et à 5,1 km du Zénith d'Amiens, dans une région où vous pourrez pêcher. ",9.3,Amiens,https://www.booking.com/hotel/fr/le-cottage-des-hortillons.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from_sustainable_property_sr=1&from=searchresults&map=1,2
Amiens,Les Augustins,"Situé à Amiens, à moins de 700 mètres de la gare et à 3,5 km du Zénith, l'établissement Les Augustins propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon. ",7.9,Amiens,https://www.booking.com/hotel/fr/les-augustins-amiens.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from=searchresults&map=1,2
Amiens,Moxy Amiens,"Situé au cœur de la ville et à deux pas de la gare, l’hôtel Moxy Amiens est un pied-à-terre idéal pour vos déplacements professionnels ou sportifs, pour un voyage entre amis ou un séjour découverte en...",8.5,Amiens,https://www.booking.com/hotel/fr/campanile-amiens-centre-gare.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from_sustainable_property_sr=1&from=searchresults&map=1,2
Amiens,Chill & Sun,"Doté d'une terrasse et offrant une vue sur le jardin, le Chill & Sun est situé à Amiens, à 1,1 km du Zénith et à 3,5 km de la gare. ",8.7,Amiens,https://www.booking.com/hotel/fr/t2-industriel-avec-terrasse-et-parking-prive-amiens.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from_sustainable_property_sr=1&from=searchresults&map=1,2
Amiens,Odalys City Amiens Blamont,"Situé à 2,8 km du Zénith d'Amiens et à 900 mètres du musée Berny à Amiens, l'Odalys City Amiens Blamont propose des hébergements avec une connexion Wi-Fi gratuite. ",8.0,Amiens,https://www.booking.com/hotel/fr/appart-39-odalys-blamont.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsWGzqIGwAIB0gIkNDNmOThhNjQtYThkZi00YzcxLWJiYjktZGI5NTI0ZjE1Mjlj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=384f46e25736021c&srepoch=1683194695&from_sustainable_property_sr=1&from=searchresults&map=1,2
